Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Unknown14	Unknown	F6		Checked	568.11	4111.72	16.13	227.60	84.38	73.28	229.09	1841.67	203.02	140.17	70.02	162.17	72.62	51.36	17.71	390.59	237.95	135.64	405.93	24.74	65.69	122.02	9.11	41.76	30.67	110.96	21.99	128.87	98.42	7.43	69.79	74.65	22.89	16.19	20.79	31.27	180.40	176.44	35.20	582.89	5.25	27.60	55.45	130.06	2236.48	64.21	108.59	2.72	228.39	55.34
Unknown15	Unknown	G4		Checked	436.31	8172.63	32.02	49.82	32.26	35.14	326.21	1566.95	90.73	302.26	3098.49	3825.92	956.54	4.52	2.60	1169.95	285.87	37.06	67.56	27.53	63.22	167.84	5.62	99.02	86.07	4564.02	298.90	85.95	65.39		7.92	5341.49	5.80	6893.25	553.26	2112.80	266.17	1534.26	116.55	1835.69	24.63	71.33	4156.17	1144.33	47461.14	34.46	425.23	61.47	24.61	394.35
Unknown15	Unknown	G6		Checked	191.94	1245.52	5.14	69.27	27.99	24.68	77.48	602.01	65.46	44.88	22.39	54.86	23.10	16.64	5.68	124.27	78.02	43.43	120.20	7.72	21.29	40.06	2.70	13.85	9.81	32.55	7.60	41.76	31.75	2.43	21.02	24.33	7.35	5.08	6.71	9.62	55.19	60.58	11.42	182.54	1.56	9.16	18.44	46.18	789.75	19.98	36.89	0.71	74.25	17.84
Unknown16	Unknown	H4		Checked	0.00	0.00	0.00	0.42	0.00	0.00	16.81	17.51	0.00	0.37	39.27	45.98	14.72	0.00	0.00	5.05	0.00	0.00	15.35	0.01	0.00	0.00	0.09	0.00	0.00	75.94	6.43	0.00	0.00	0.00	0.00	70.85	0.00	844.32	6.58	305.77	7.75	24.34	1.34	89.94	0.15	0.24	47.91	8.70	652.62	0.00	2.63	0.00	0.00	3.05
Unknown16	Unknown	H6		Checked	57.90	192.92	1.25	20.55	5.31	1.93	20.68	178.12	15.63	12.29	6.58	1.72	6.47	4.73	1.51	37.54	16.18	11.90	38.73	2.39	6.02	9.51	0.86	3.37	2.45	5.71	2.13	11.48	7.02	0.62	6.48	6.21	1.99	0.98	1.99	3.44	18.30	19.50	2.91	60.77	0.40	2.27	4.60	13.63	117.25	6.02	9.65	0.00	18.88	4.43
Unknown2	Unknown	B3		Checked	9131.18	95152.77	253.73	3789.99	1868.88	1669.18	5230.58	30244.73	3491.13	2202.89	1280.14	2841.06	1344.46	740.41	361.46	5775.31	10300.03	2837.49	6380.24	326.87	1287.40	3494.07	164.92	841.67	438.60	2412.30	688.16	3079.59	2535.11	148.00	367.60	1476.01	524.52	292.81	505.94	611.30	2392.41	2706.15	706.41	8358.71	116.28	546.55	1411.16	2328.39	52380.24	1451.75	1922.16	119.63	4216.88	995.79
Unknown2	Unknown	B5		Checked	50654.37	315204.68	899.38	16773.70	6796.93	5678.95	16966.79	169141.51	16482.25	12728.49	5173.61	13960.09	5366.71	4507.89	1615.79	27876.73	28570.05	11802.59	35516.12	2075.14	5138.33	9877.13	533.70	3862.07	2580.11	8225.25	2134.55	9790.99	8149.30	624.54	4743.54	6579.98	1853.67	1216.37	1603.71	2629.78	8960.09	6743.19	2530.56	39475.76	347.73	2006.11	4357.88	6849.46	213014.06	3880.77	9154.89	272.30	19921.09	4531.20
Unknown3	Unknown	C3		Checked	445.82	7873.68	32.24	46.90	34.35	36.04	317.33	1477.74	91.68	296.56	3241.18	3701.95	940.72	4.09	3.24	1161.52	289.69	36.00	70.31	28.68	62.95	152.42	6.05	94.77	86.54	4542.70	310.18	88.44	66.16		8.18	5206.29	5.68	6722.28	551.71	2488.73	282.43	1666.65	121.66	1795.41	23.81	69.94	4204.16	1143.11	45997.58	31.96	429.29	63.07	23.66	393.29
Unknown3	Unknown	C5		Checked	14961.86	100919.27	431.77	7033.67	2516.65	2249.09	7324.88	46854.57	5658.12	3973.11	1997.23	4937.03	2014.65	1378.37	482.20	10455.96	6181.31	3382.73	9592.10	689.61	1799.50	3424.50	244.86	1173.35	869.86	3235.63	600.97	3601.37	2787.97	211.01	1895.90	1937.79	607.55	432.63	582.03	788.13	4724.31	4680.56	940.06	13075.76	156.94	864.80	1483.81	3756.51	59167.39	1730.53	3006.72	87.24	6023.56	1523.32
Unknown4	Unknown	D3		Checked	0.00	0.00	0.00	1.77	0.00	0.00	16.42	19.56	0.00	0.00	35.64	41.12	12.89	0.00	0.00	3.75	0.00	0.00	16.79	0.01	0.00	0.00	0.09	0.00	0.00	67.57	5.99	0.00	0.00	0.00	0.00	62.51	0.00	787.23	5.58	288.34	8.23	21.60	0.00	84.94	0.14	0.00	45.13	8.02	562.73	0.00	1.94	0.06	0.00	2.23
Unknown4	Unknown	D5		Checked	5069.84	34782.44	153.81	2172.95	755.41	616.51	1987.05	15710.56	1725.20	1232.28	633.37	1525.84	698.19	452.82	155.54	3544.07	1995.99	1126.38	3664.15	211.68	557.14	1089.60	78.08	362.72	265.86	993.10	191.63	1137.25	818.53	64.44	636.03	624.28	200.78	133.12	192.29	279.34	1624.50	1620.47	322.76	5134.41	44.46	270.15	467.36	1276.51	18483.87	611.30	908.99	29.19	1827.46	475.37
Unknown5	Unknown	E3		Checked	191.94	1928.89	4.96	63.36	32.79	23.66	97.07	642.76	64.46	48.01	22.39	237.26	27.28	15.17	7.94	101.97	134.48	48.76	124.81	5.34	26.10	76.64	3.05	16.79	8.84	46.27	14.75	62.60	64.37	3.24	5.80	34.14	12.01	5.92	9.61	11.10	44.26	282.96	67.19	699.04	2.19	11.08	22.74	41.80	1293.58	30.53	144.95	1.87	84.75	21.92
Unknown5	Unknown	E5		Checked	1708.96	11790.65	47.47	718.64	245.84	202.92	660.25	5577.27	589.35	425.39	208.14	507.12	218.61	159.18	52.96	1166.79	715.74	393.25	1272.89	73.93	198.00	373.18	27.41	124.16	90.43	319.47	65.61	379.67	276.29	23.11	202.59	218.61	67.69	46.11	61.68	98.11	516.76	582.34	108.71	1873.52	14.37	85.06	164.87	425.32	6427.53	195.36	313.63	9.74	653.43	161.32
Unknown6	Unknown	F3		Checked	9265.61	96922.42	270.83	3769.34	1912.99	1635.91	5526.31	29022.94	3596.47	2222.89	1301.59	2807.80	1363.80	731.28	358.51	5784.80	10300.03	2865.98	6460.42	334.37	1301.73	3488.22	169.74	870.87	449.63	2464.28	712.27	3062.77	2606.59	154.81	383.54	1464.54	567.58	302.21	505.33	608.29	2957.98	2831.95	699.42	9058.91	121.06	580.60	1411.70	2377.06	53914.92	1471.02	1945.48	118.18	4269.54	1050.04
Unknown6	Unknown	F5		Checked	613.94	4198.59	16.48	233.15	85.89	74.72	241.05	1977.59	206.82	150.31	72.83	166.45	76.20	52.20	18.60	400.41	249.49	140.05	412.19	25.98	66.78	124.74	9.14	44.99	31.92	115.15	23.76	130.49	102.71	7.83	70.18	78.66	23.60	15.74	21.19	31.73	180.50	181.86	36.05	597.88	5.29	29.45	57.68	134.80	2389.81	67.23	113.44	3.29	236.08	57.77
Unknown7	Unknown	G3		Checked	423.66	7679.77	31.65	46.90	32.79	32.39	313.72	1458.08	90.73	299.41	3055.18	3690.00	931.00	4.52	2.60	1144.68	262.92	34.94	61.96	30.96	61.31	155.11	6.05	97.61	84.04	4557.14	300.09	87.51	66.16	0.69	8.12	5339.13	5.56	6540.97	556.71	2082.55	248.94	1497.00	98.80	1810.24	24.86	72.71	3952.54	1110.41	46340.22	33.03	446.77	60.24	25.09	392.59
Unknown7	Unknown	G5		Checked	200.72	1245.52	5.33	71.68	27.99	24.68	81.71	626.39	67.45	48.45	23.02	54.86	23.55	16.89	5.86	127.48	78.02	45.56	120.20	8.02	21.54	39.69	2.67	13.85	9.97	34.07	7.60	41.76	32.27	2.43	21.02	23.59	7.48	4.99	6.84	9.71	55.40	60.10	11.16	181.59	1.60	9.32	19.27	46.14	814.23	19.98	36.89	0.87	78.07	18.42
Unknown8	Unknown	H3		Checked	0.23	0.00	0.00	1.77	0.00	0.00	15.25	15.50	0.00	0.00	33.01	38.55	12.35	0.00	0.00	1.86	0.00	0.00	16.79	0.03	0.00	0.00	0.09	0.00	0.00	66.81	5.41	0.00	0.00	0.00	0.00	59.35	0.00	678.22	5.17	266.56	7.75	20.66	2.91	82.39	0.07	0.00	39.83	6.66	536.60	0.00	2.29	0.00	0.00	1.96
Unknown8	Unknown	H5		Checked	55.29	221.50	1.25	21.38	6.80	3.90	22.21	184.48	16.86	13.16	6.29	15.48	6.80	4.73	1.51	37.54	13.89	11.90	38.73	2.24	5.68	10.71	0.86	3.37	2.45	5.71	2.13	11.48	7.02	0.69	6.48	6.56	2.10	1.25	1.99	3.44	17.85	19.89	2.22	66.42	0.40	2.44	4.60	13.67	182.84	6.02	10.01	0.01	18.88	4.99
Unknown9	Unknown	A4		Checked	194.86	2014.47	5.14	66.15	33.31	25.68	102.63	675.75	67.45	50.24	23.98	244.04	28.46	15.41	8.38	106.72	138.45	51.43	133.13	5.59	27.38	75.94	3.10	16.79	9.49	50.83	16.18	64.42	66.41	3.43	5.80	36.05	12.13	6.34	9.70	12.02	47.63	284.96	71.41	718.45	2.24	11.71	25.93	44.62	1327.33	31.24	150.99	1.93	91.43	22.50
Unknown9	Unknown	A6		Checked	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.30	4.61	9.12	0.00	24.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
