Sample	Use	Well	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Unknown10	Unknown	B6		Checked	82996.52	339344.84	983.54	16887.12	6784.43	6002.96	16426.67	180155.85	17636.88	12573.71	5491.06	12109.92	4664.39	4469.73	1650.77	28545.46	25384.88	11550.74	35373.29	2162.14	5678.32	10139.62	538.91	3623.72	2468.03	8618.66	2052.39	10368.19	8669.88	712.49	4822.44	6521.43	1892.01	1276.23	1724.55	2441.96	8678.38	6967.01		24973.05	378.12	2120.37	4445.45	6809.71	228523.99	4447.27	9098.54	292.24	20180.06	4892.28
Unknown11	Unknown	C4		Checked	436.44	8240.25	33.07	49.02	36.11	35.20	335.83	1559.11	92.80	320.59	3364.44	3720.21	959.76	4.84	2.97	1250.78	305.01	35.67	69.67	30.24	67.65	162.94	6.29	100.57	92.51	4823.62	321.87	91.13	71.77		8.63	5249.60	6.21	11606.79	557.73	2228.90	287.90	1651.48	223.49	2252.15	25.06	74.45	4380.28	1185.13	46378.63	34.46	442.40	66.13	26.40	411.43
Unknown11	Unknown	C6		Checked	17234.93	102514.51	429.21	6903.64	2492.08	2277.05	7303.81	45604.70	5726.06	3967.30	2033.43	4668.63	2116.07	1425.00	500.74	10576.45	6060.27	3473.35	9825.19	702.77	1799.65	3456.17	247.04	1228.68	885.49	3349.45	592.86	3694.16	2808.06	211.06	1915.72	2036.71	638.09	435.95	597.66	789.86	4330.46	4052.03	23212.76	16294.35	162.29	846.71	1536.85	3672.23	59148.32	1780.72	3009.03	89.32	6122.37	1537.61
Unknown12	Unknown	D4		Checked	1.31	0.00	0.00	1.91	0.00	0.00	15.59	12.49	0.00	0.91	35.01	43.56	12.89	0.00	0.00	3.12	0.00	0.00	17.49	0.00	0.00	0.00	0.05	0.00	0.00	68.12	5.67	0.00	0.00	0.00	0.00	62.58	0.00	719.98	5.11	286.11	8.37	21.79	3.15	79.43	0.11	0.00	43.42	7.80	565.72	0.00	2.71	0.00	0.00	1.96
Unknown12	Unknown	D6		Checked	5112.29	33483.99	150.08	2092.88	737.22	619.35	1963.57	14825.32	1694.85	1248.48	608.85	1531.09	690.61	442.02	150.53	3501.74	1905.32	1136.39	3613.62	208.84	527.03	1083.66	76.18	338.35	266.83	959.48	186.17	1110.32	788.91	62.31	604.17	620.82	194.06	129.14	180.92	271.23	1609.55	1540.75	1170.61	6627.00	42.28	253.34	461.49	1205.23	17443.98	607.13	903.20	28.90	1829.76	464.90
Unknown13	Unknown	E4		Checked	181.38	1965.50	4.85	62.21	31.46	21.56	96.84	627.05	62.34	47.45	22.41	237.96	26.13	15.00	7.93	103.98	136.12	48.21	123.43	5.43	26.77	74.51	3.03	15.02	8.82	46.52	15.89	63.45	66.64	3.32	5.53	33.30	11.51	5.71	9.61	11.17	43.99	278.26	84.28	688.10	2.20	11.74	22.97	42.10	1304.59	30.18	148.50	2.08	86.19	21.95
Unknown13	Unknown	E6		Checked	1669.20	10814.27	45.55	696.80	245.55	197.07	636.63	5354.96	560.32	408.75	200.37	489.97	215.04	151.74	49.80	1148.35	667.51	377.88	1256.38	71.57	181.44	365.03	27.11	110.71	84.87	322.86	62.80	375.70	268.07	21.69	199.74	210.20	66.41	42.41	61.09	94.18	497.75	623.49	187.63	2127.38	13.84	81.52	151.80	417.85	5720.08	186.73	308.64	9.22	619.79	151.62
Unknown14	Unknown	F4		Checked	9568.52	94512.50	265.76	3724.81	1871.43	1633.62	5545.27	28875.10	3601.10	2326.04	1316.11	2812.19	1376.95	757.58	361.59	5823.01	9853.11	2948.69	6429.43	333.72	1259.00	3489.13	173.82	887.85	465.78	2449.57	686.94	3057.87	2544.27	151.35	382.28	1550.44	567.35	288.26	517.95	605.62	2903.47	2762.22	6173.99	11532.56	120.37	558.03	1450.14	2396.39	53294.23	1516.58	1970.09	117.80	4370.27	1013.31
Unknown14	Unknown	F6		Checked	567.41	4120.30	16.13	227.37	83.90	73.50	228.45	1843.69	203.70	140.16	70.03	162.37	72.39	50.97	17.93	391.52	237.62	134.55	405.03	24.78	66.02	122.06	9.11	41.12	30.31	110.63	22.02	128.35	99.45	7.46	69.79	74.81	22.75	16.26	20.79	31.26	180.37	176.54	34.69	576.24	5.27	27.63	55.12	130.08	2296.08	64.21	107.41	2.70	228.02	56.06
Unknown15	Unknown	G4		Checked	436.44	8165.80	32.05	49.75	31.98	35.20	326.53	1569.09	90.89	303.71	3097.23	3748.66	962.23	4.63	2.60	1168.27	285.81	36.71	67.81	27.57	63.58	167.97	5.62	99.12	86.46	4563.88	299.90	85.52	66.39		7.92	5282.16	5.75	10532.24	550.01	2071.33	266.24	1532.39	211.38	2117.68	24.53	71.23	4230.80	1145.65	47182.99	34.46	429.10	62.23	24.51	392.60
Unknown15	Unknown	G6		Checked	193.02	1250.67	5.13	69.16	27.75	24.67	76.69	602.57	65.38	44.79	22.41	54.78	23.05	16.44	5.73	124.81	78.22	42.97	120.73	7.73	21.65	40.01	2.70	13.59	9.61	32.49	7.57	41.50	32.40	2.46	21.03	24.24	7.28	5.11	6.72	9.61	55.12	60.52	8.47	164.69	1.56	9.18	18.30	46.10	821.78	19.99	36.28	0.71	73.82	18.08
Unknown16	Unknown	H4		Checked	0.00	0.00	0.00	0.60	0.00	0.00	17.09	14.47	0.00	0.91	39.30	45.93	14.71	0.00	0.00	4.44	0.00	0.00	14.53	0.00	0.00	0.00	0.10	0.00	0.00	75.71	6.40	0.00	0.00	0.00	0.00	70.98	0.00	849.72	6.59	305.24	7.78	24.33	3.36	85.33	0.14	0.18	47.60	8.78	679.69	0.00	3.35	0.00	0.00	2.82
